Instance_Number,Relaxation_Bound,Solution_Time,Best_Objective_Value,Best_Lower_Bound,Duality_Gap,Solution_Status
67,-15079.0085782858,1.56358194351196,-15079.0085782858,-15080.3539869029,8.92239440119126E-05,OPTIMAL
87,-14184.0555685921,104.262463092804,-14184.0555685921,-14185.4734615159,9.99638585005273E-05,OPTIMAL
1,-13402.9267721165,600.003854990006,-13402.9267721165,-13409.5102597487,0.000491197761812096,TIME_LIMIT
2,-12865.0587926252,600.00177192688,-12865.0587926252,-12872.50100749,0.000578482771414767,TIME_LIMIT
3,-14414.7870565847,600.003021001816,-14414.7870565847,-14421.7536524208,0.0004832950919613,TIME_LIMIT
4,-15111.0938017521,600.001233816147,-15111.0938017522,-15126.3616883733,0.00101037600728663,TIME_LIMIT
5,-15721.2376394301,600.001504898071,-15721.2376394301,-15730.7340625452,0.000604050605487674,TIME_LIMIT
6,-15254.6587800686,600.006130933762,-15254.6587800686,-15260.8745994588,0.000407470234492987,TIME_LIMIT
7,-13215.2727718838,600.001779079437,-13215.2727718838,-13223.5168943866,0.000623832942766543,TIME_LIMIT
8,-16674.013284989,600.005733966827,-16674.013284989,-16680.198176,0.000370929955810884,TIME_LIMIT
9,-14099.5721990286,600.005676031113,-14099.5721990286,-14104.6464100915,0.000359884044086511,TIME_LIMIT
10,-15021.4022122476,600.020223140717,-15021.4022122476,-15025.9280081654,0.000301289843243471,TIME_LIMIT
11,-16038.3252734409,600.009453058243,-16038.325273441,-16043.6253997316,0.000330466317416715,TIME_LIMIT
12,-16754.5758336207,600.006484985352,-16754.5758336207,-16759.5038671933,0.000294130607756177,TIME_LIMIT
13,-11726.0080096315,600.011549949646,-11726.0080096315,-11730.9274896698,0.000419535790379221,TIME_LIMIT
14,-14540.635884055,600.001183986664,-14540.635884055,-14551.2378164903,0.000729124401419589,TIME_LIMIT
15,-15036.7320909015,600.007360935211,-15036.7320909015,-15041.8583579012,0.000340916295424047,TIME_LIMIT
16,-13766.4634877248,600.004295110703,-13766.4634877248,-13772.2535586545,0.000420592473503197,TIME_LIMIT
17,-13641.7438041048,600.002002000809,-13641.7438041048,-13650.2466548826,0.000623296471472051,TIME_LIMIT
18,-10878.7799512169,600.001332044601,-10878.7799512169,-10887.3062283711,0.000783753067208531,TIME_LIMIT
19,-11269.247123305,600.00114607811,-11269.247123305,-11280.4590298455,0.000994911764545424,TIME_LIMIT
20,-14079.0293234094,600.001612901688,-14079.0293234094,-14086.7794152096,0.00055047060576088,TIME_LIMIT
21,-13428.7742099087,600.016011953354,-13428.7742099087,-13433.4413719307,0.000347549370414162,TIME_LIMIT
22,-14740.5358063272,600.001973152161,-14740.5358063272,-14747.9488398545,0.000502901225888588,TIME_LIMIT
23,-14164.767318826,600.018706798554,-14164.767318826,-14168.955459785,0.000295673120833059,TIME_LIMIT
24,-13499.0998810611,600.030892133713,-13499.0998810611,-13502.8783386992,0.000279904413736047,TIME_LIMIT
25,-12203.9127234783,600.000944852829,-12203.9127234783,-12216.0687306365,0.000996074573262807,TIME_LIMIT
26,-14595.3176202123,600.001214027405,-14595.3176202123,-14607.4117194273,0.000828628710225995,TIME_LIMIT
27,-15251.7281421109,600.003797054291,-15251.7281421109,-15258.5486683748,0.000447196947150668,TIME_LIMIT
28,-12812.5685304448,600.001042127609,-12812.5685304448,-12826.1697639409,0.00106155400955063,TIME_LIMIT
29,-13663.7875303594,600.059216976166,-13663.7875303594,-13666.4208998449,0.000192726173447355,TIME_LIMIT
30,-14704.6203854384,600.005181074142,-14704.6203854384,-14710.9466036509,0.000430219757237482,TIME_LIMIT
31,-13245.0439676629,600.005008935928,-13245.0439676629,-13250.1715870094,0.000387134943379626,TIME_LIMIT
32,-14787.337037679,600.021448850632,-14787.337037679,-14791.6772763565,0.000293510499319453,TIME_LIMIT
33,-13815.086334751,600.001434087753,-13815.086334751,-13824.6538136184,0.000692538478262734,TIME_LIMIT
34,-12102.3957612727,600.027706861496,-12102.3957612727,-12105.7130975609,0.000274105751759553,TIME_LIMIT
35,-14941.9888420923,600.007626056671,-14941.9888420923,-14946.6721379459,0.000313431893374634,TIME_LIMIT
36,-13677.1317728635,600.003401041031,-13677.1317728635,-13683.8365384778,0.000490217227242409,TIME_LIMIT
37,-13579.5284369065,600.00257396698,-13579.5284369065,-13586.6570238495,0.000524950993409902,TIME_LIMIT
38,-14589.2494144111,600.002831935883,-14589.2494144111,-14595.8338218689,0.000451319137184641,TIME_LIMIT
39,-14337.77142742,600.023243188858,-14337.77142742,-14342.3620543745,0.000320177161260035,TIME_LIMIT
40,-13597.2691635776,600.000819921494,-13597.2691635776,-13609.6903384853,0.000913505113288581,TIME_LIMIT
41,-14198.1392847631,600.002334117889,-14198.1392847631,-14205.6228617813,0.000527081532875226,TIME_LIMIT
42,-14857.7570845153,600.012113809586,-14857.7570845153,-14861.9068540417,0.000279299863551351,TIME_LIMIT
43,-13826.8084013777,600.010111808777,-13826.8084013778,-13832.3227881469,0.000398818484284221,TIME_LIMIT
44,-13254.900615474,600.005963087082,-13254.9006154741,-13260.8957238484,0.000452293725036662,TIME_LIMIT
45,-13168.8158753422,600.001881837845,-13168.8158753422,-13177.9819108294,0.000696040978470631,TIME_LIMIT
