Instance_Number,Relaxation_Bound,Solution_Time,Best_Objective_Value,Best_Lower_Bound,Duality_Gap,Solution_Status
1,-1234.487035630204,0.0027811527252197266,-1234.4870356302044,-1234.5920773166467,8.508933946694645e-5,OPTIMAL
2,-977.028473370528,0.45177698135375977,-977.0284733705284,-977.1253152394215,9.91187785541061e-5,OPTIMAL
3,-866.1786814285275,0.08372902870178223,-866.1786814285279,-866.1791865209949,5.831273360575613e-7,OPTIMAL
4,-847.1878265466167,0.45758509635925293,-847.187826546617,-847.1907018267461,3.3939110537983163e-6,OPTIMAL
5,-1042.9159558186627,0.08458685874938965,-1042.9159558186632,-1042.9160040351146,4.6232346109354466e-8,OPTIMAL
6,-1043.1846456126666,0.24077415466308594,-1043.1846456126668,-1043.2697168929265,8.154959011082396e-5,OPTIMAL
7,-944.3680951648244,0.21325397491455078,-944.3680951648253,-944.4604211064222,9.776478268344981e-5,OPTIMAL
8,-1105.949850615321,0.003244161605834961,-1105.9498506153218,-1106.0479112184362,8.866641019918168e-5,OPTIMAL
9,-910.4779367058098,0.016935110092163086,-910.4779367058105,-910.530987825435,5.8267331349504065e-5,OPTIMAL
10,-1189.0089830188333,0.08898210525512695,-1189.008983018834,-1189.0091633817588,1.5169181002160215e-7,OPTIMAL
11,-972.2840528445016,0.2626631259918213,-972.284052844502,-972.3748033725881,9.333746431468333e-5,OPTIMAL
12,-903.5520804925548,0.05435585975646973,-903.5520804925551,-903.5522372563341,1.73497225484067e-7,OPTIMAL
13,-985.2188315310362,0.0571599006652832,-985.218831531037,-985.2712799951316,5.323534469300093e-5,OPTIMAL
14,-740.7121065809042,0.30971288681030273,-740.7121065809046,-740.7155600912547,4.66241920370652e-6,OPTIMAL
15,-968.5438336558543,0.2639930248260498,-968.5438336558548,-968.5440517704664,2.251984928355604e-7,OPTIMAL
16,-1154.613540682429,0.20127582550048828,-1154.6135406824296,-1154.67415825023,5.2500309120340594e-5,OPTIMAL
17,-697.1212699515005,0.8376119136810303,-697.121269951501,-697.1255014642463,6.069980830840761e-6,OPTIMAL
18,-567.747424550937,0.1842641830444336,-567.7474245509375,-567.7480197637443,1.0483760579162803e-6,OPTIMAL
19,-844.9386174777087,0.03378701210021973,-844.9386174777094,-844.9387676527826,1.7773489121249163e-7,OPTIMAL
20,-798.3413793779679,1.0771441459655762,-798.3413793779681,-798.355853135405,1.8129784839905026e-5,OPTIMAL
21,-978.5952103257638,0.0022590160369873047,-978.5952103257644,-978.6570189989205,6.316061278860856e-5,OPTIMAL
22,-1374.81532121821,0.0161440372467041,-1374.8153212182106,-1374.8486639486187,2.4252515878676065e-5,OPTIMAL
23,-907.3986766224525,0.018658161163330078,-907.3986766224527,-907.4586968564562,6.614538410706993e-5,OPTIMAL
24,-931.3042142903616,0.25628185272216797,-931.304214290362,-931.38231796939,8.386484011296929e-5,OPTIMAL
