Instance_Number,Relaxation_Bound,Solution_Time,Best_Objective_Value,Best_Lower_Bound,Relative_Gap,Solution_Status
1,-3786.4686585278932,1.197760820388794,-3786.468658527895,-3786.847248512237,9.998497768871571e-5,OPTIMAL
2,-3878.015354418849,12.069636106491089,-3878.0153544188506,-3878.3985289733237,9.880686883728326e-5,OPTIMAL
3,-3520.2853919455915,35.29869294166565,-3520.2853919455924,-3520.6367382811795,9.980620786910211e-5,OPTIMAL
4,-4099.033034853576,600.297091960907,-4099.033034853578,-4099.577319176284,0.00013278359019739799,TIME_LIMIT
5,-4096.312306831985,27.880151987075806,-4096.3123068319865,-4096.721721170884,9.994705194099343e-5,OPTIMAL
6,-3751.2990197529825,6.099216938018799,-3751.299019752985,-3751.6704826494206,9.902247047750335e-5,OPTIMAL
7,-3106.40698895495,600.6699049472809,-3106.406988954952,-3107.026999068788,0.0001995907542187992,TIME_LIMIT
8,-3943.651155819971,15.118409872055054,-3943.6511558199727,-3944.0450797126,9.988811815820553e-5,OPTIMAL
9,-3295.5829085080177,0.5113060474395752,-3295.582908508019,-3295.847642249648,8.032986848709895e-5,OPTIMAL
10,-4472.3669627357895,0.7986509799957275,-4472.366962735792,-4472.369712162024,6.147586401325399e-7,OPTIMAL
11,-3612.0676432014234,12.69015097618103,-3612.0676432014247,-3612.3512011862613,7.850295532815797e-5,OPTIMAL
12,-4292.414661967757,1.1103520393371582,-4292.4146619677595,-4292.838443007969,9.872788944740385e-5,OPTIMAL
13,-3387.782594189048,2.0614750385284424,-3387.78259418905,-3388.0383586729304,7.549613257916287e-5,OPTIMAL
14,-3608.3428933704663,360.14901399612427,-3608.342893370468,-3608.7037048251887,9.999367171657507e-5,OPTIMAL
15,-3864.950446564581,14.298110008239746,-3864.9504465645828,-3865.3367382682554,9.994738846290241e-5,OPTIMAL
16,-3575.3581780639142,7.753813982009888,-3575.358178063916,-3575.7104463214855,9.8526704186095e-5,OPTIMAL
17,-2849.0086264343786,600.6442370414734,-2849.0086264343804,-2849.41217434527,0.0001416450294833941,TIME_LIMIT
18,-2544.8030383191985,57.4804790019989,-2544.8030383192,-2545.0574669385824,9.997969019656929e-5,OPTIMAL
19,-3164.892271590399,15.213788986206055,-3164.892271590402,-3165.2079972876636,9.975875011477162e-5,OPTIMAL
20,-3438.8291761500104,32.51654386520386,-3438.829176150011,-3439.1620754518945,9.680600135429353e-5,OPTIMAL
21,-3450.7997468744147,0.8348450660705566,-3450.7997468744156,-3450.89276505719,2.695554352541241e-5,OPTIMAL
22,-4472.969641286316,1.7592449188232422,-4472.969641286318,-4473.409842958109,9.841374010862439e-5,OPTIMAL
23,-4048.3786220143065,0.6913561820983887,-4048.3786220143065,-4048.3815686596186,7.278581346119138e-7,OPTIMAL
24,-3885.1953664052385,70.0615131855011,-3885.19536640524,-3885.5837834750196,9.997362632991752e-5,OPTIMAL
25,-2790.645803102444,600.3323910236359,-2790.6458031024454,-2791.3388270489795,0.0002483381967584921,TIME_LIMIT
26,-4315.013281218581,40.35405611991882,-4315.013281218584,-4315.444556987056,9.994772677737871e-5,OPTIMAL
27,-3669.4330077863583,20.261487007141113,-3669.4330077863597,-3669.799794800594,9.9957408530451e-5,OPTIMAL
28,-2295.1929017298553,600.0328960418701,-2295.192901729856,-2299.581872983265,0.0019122450448938852,TIME_LIMIT
29,-3580.0914497507056,1.5192749500274658,-3580.0914497507074,-3580.448465264901,9.97224565921746e-5,OPTIMAL
30,-4027.6841126385575,0.8966269493103027,-4027.6841126385593,-4028.0571590890936,9.262058297066426e-5,OPTIMAL
31,-3203.7438969599925,12.612838983535767,-3203.7438969599943,-3204.064229467746,9.998692718713367e-5,OPTIMAL
32,-4069.16670547496,51.98802590370178,-4069.1667054749646,-4069.5734906973976,9.996769655213266e-5,OPTIMAL
33,-3429.602447630791,15.275336027145386,-3429.602447630793,-3429.925432473053,9.417559241693562e-5,OPTIMAL
34,-3045.8246667047615,12.916290044784546,-3045.824666704763,-3046.1278691159996,9.954690253551135e-5,OPTIMAL
35,-3752.348963282468,2.3584229946136475,-3752.34896328247,-3752.7211498498637,9.91876211502974e-5,OPTIMAL
36,-3710.2461894792355,168.25889587402344,-3710.2461894792377,-3710.6172042902954,9.999735653922016e-5,OPTIMAL
37,-3856.7205939360697,31.537088871002197,-3856.7205939360706,-3857.105660779313,9.984307492946621e-5,OPTIMAL
38,-4214.938860328425,2.716364860534668,-4214.938860328429,-4215.357513790538,9.932610554564508e-5,OPTIMAL
39,-3880.6612346529328,2.956653118133545,-3880.6612346529337,-3881.0470282397955,9.9414394489482e-5,OPTIMAL
40,-3885.618421126949,404.1481862068176,-3885.618421126951,-3886.006971059614,9.999693499246192e-5,OPTIMAL
